Winter_Year,Deseasonalized,Winter_Anomaly,Anomaly_Class,ENSO_encoded
2001,2693.9738282857834,-1.1157487442375964,-1: Below Normal,0.0
2002,2596.6927225031886,-1.8259846935900519,-2: Far Below Normal,-1.3333333333333333
2003,2839.5889891698553,-0.052632518341319434,0: Normal,-0.6666666666666666
2004,2900.723989169855,0.39370569311670406,0: Normal,-0.6666666666666666
2005,2881.0854625031884,0.25032751583575713,0: Normal,0.3333333333333333
2006,2750.9903725031886,-0.699478810983097,-1: Below Normal,-0.3333333333333333
2007,2862.691475836522,0.11603555361472619,0: Normal,1.6666666666666667
2008,2990.354202503188,1.0480835308823238,+1: Above Normal,1.6666666666666667
2009,2989.7478958365214,1.0436569694495095,+1: Above Normal,-1.0
2010,2873.674645836522,0.19622216445858784,0: Normal,1.3333333333333333
2011,2943.5468725031883,0.7063496639431647,+1: Above Normal,2.3333333333333335
2012,2888.946785836522,0.3077219543127886,0: Normal,0.6666666666666666
2013,2876.0117125031884,0.2132847661770484,0: Normal,0.0
2014,3060.407965836522,1.55953640455704,+2: Far Above Normal,-0.6666666666666666
2015,2953.193265836522,0.7767766525326903,+1: Above Normal,-3.0
2016,2750.777959169855,-0.701029611462198,-1: Below Normal,-0.6666666666666666
2017,2765.9491691698554,-0.5902666976312642,-1: Below Normal,1.0
2018,2883.2344091698556,0.2660166793545056,0: Normal,-0.3333333333333333
2019,2835.8642925031886,-0.0798260154939106,0: Normal,-0.3333333333333333
2020,2716.220085836522,-0.953331883080633,-1: Below Normal,1.3333333333333333
2021,2940.9987858365216,0.6877464342802867,+1: Above Normal,2.0
2022,2905.5133625031885,0.42867224791517905,0: Normal,1.3333333333333333
2023,2712.9640958365217,-0.9771034174410668,-1: Below Normal,-1.6666666666666667
2024,2653.1743591698555,-1.4136200466607647,-2: Far Below Normal,-1.0
2025,2852.6836725031885,0.0429699604124086,0: Normal,0.0
